name,operatorAddress
Sentinel dVPN,evmosvaloper1rwy29t3eup0tnaph08rezdjsmckzqemkxh535w
Consensus One,evmosvaloper18lgy886ruwkuaefm2c0sn0gt9kgnj0de3kt6pv
Trailblazer--shutting down-Please Redelegate,evmosvaloper1kegt9p7se6mpmtt47axx0rwxlp8tr5626pq09u
Please Redelegate. Shutting down,evmosvaloper1aqjfvunjprdhs660e9yfa8wdulc7rxlzz43hn3
Validatus,evmosvaloper15fezptqfn3rmxtl4006ze9plealy4w9xdfamnv
Please undelegate,evmosvaloper1gyxqlahz6g9ws5cu0tk3gccgryzja7558f069r
Please Redelegate,evmosvaloper1w2j20fj2a4wfmvqnhfhv4mfxkw5xxt09x8esyj
DO NOT DELEGATE,evmosvaloper1h9y3jxm5d3fqlnfczxqcdagn43d44qezj9m7et
Forza ,evmosvaloper1rychv980zc64hj9r484prj9etd79enegmzrwnf
Arctic,evmosvaloper1tk9m4drzupjpsdfr99t5pkhtl0w57ykpvvsvcm
SHUTTING DOWN PLEASE REDELEGATE,evmosvaloper17zaf6jk6gupa0mgnyyt7e4u8y783k6u3wz6avj
<decommissioned>,evmosvaloper1fy7l4avx0laq5w7me3kt4vlwlha8zwzgdjcvv0
Please REDELEGATE,evmosvaloper1ae6cgh398k7axy6a8jgsv3sw82tckt9202w38y
REDELEGATE | CLOSING 06/06/23,evmosvaloper1dk4ste222kp256ky00553nexna0rh38hx2ur6c
Cosmos Cats,evmosvaloper1jkqgnx9y8jm9gu6r56686f5s4hjmuvkau8w6zt
Square Labs-PLEASE UNDELEGATE,evmosvaloper1u6ndfv26nc2jw43kx0kzck8s9pnunakwgu8vmc
Do Not Delegate Here - SN,evmosvaloper102qhm689yg9g0z8eucmylfdel69ja6mmfvrjxh
Aureus-Trading,evmosvaloper1awacjk9kskd9qdyrfgy45jc4zs65j083syng9g
Wetez,evmosvaloper1jd6w3lm4y22680fkwvykx5h8tjzftd9z0mdcqm
Quebec,evmosvaloper1xsc2lnpf9jwem8kujlqan44ywet3trj2sezfhg
Impulse,evmosvaloper16d9wa7uzahhmr9ekahyaejr9sdpmj9glg4vurm
[Beehive],evmosvaloper17jyfw78xztc8crq4t8znjlg8ld76lkzkg2hny3
SpaceStake,evmosvaloper1zwqsh4vwmcvmff200suc28ln2du9ypzwyj4wve
wb3addctd,evmosvaloper1lr7tdf32qchnw6dmwrv6n88g48epkhchq4m29q
Element,evmosvaloper1hff5hzynl9vqp8pza50hf7u9yafmwlmd8v6e5a
artifact,evmosvaloper1jytln8383q09vgfmd54jzh4dk496mvjzy33kwr
QuantumNode.io - Token and NFT airdrops to all delegators,evmosvaloper1e5vafahaguws6aekhvs79nrjch0mzjzx2xjgt7
Please redelegate to the new spacefi.io validator | Old spacefi.,evmosvaloper1tppfkc7qtf7jmz3kat9za09d50yftjlr8rhdkr
Please Redelegate,evmosvaloper152y6pcgsagwh5q8933vecex840adml37rsmep3
BabyScope,evmosvaloper1jjukyfxfusatfjpx99cekxyvms95ergafme8l0
 Mercury,evmosvaloper1jkn3w5rm7lp0pn07qxc4d3rxdxre7h23xty2v9
RRU.ONE,evmosvaloper1fwtfcx8qqrflm2kuhn9sq6gx5cqe4g539906q5
DefierEvmos,evmosvaloper1fhfkklmv764r3u6kqkeflmddr6rlzhf4r9lae6
